Persona:int,ComunaOrigen:int,ComunaDestino:int
10134004,103,103
10134005,103,103
10134005,103,103
10135101,103,98
10135101,98,103
10135102,103,999
10135102,999,103
10135103,103,98
10135103,98,103
10135104,103,98
10135104,98,103
10135104,103,999
10135104,999,103
10136001,103,98
10136001,98,98
10136001,98,98
10136001,98,103
10136001,103,103
10136003,103,98
10136003,98,103
10136003,103,103
10137201,103,103
10137201,103,103
10137201,103,103
10137202,103,103
10137202,103,103
10137202,103,103
10137202,103,103
10137203,103,103
10137203,103,103
10137203,103,103
10137203,103,103
10138201,103,999
10138201,999,103
10138203,103,70
10138203,70,70
10138203,70,70
10138203,70,70
10138203,70,103
10138204,103,70
10138204,70,103
10138204,103,103
10138204,103,103
10139201,103,76
10139201,76,103
10139202,103,103
10139202,103,103
10140101,103,103
10140101,103,103
10141201,103,103
10141201,103,103
10141202,103,103
10141202,103,103
10141203,103,103
10141203,103,103
10141204,103,91
10142001,103,103
10142001,103,103
10142001,103,103
10142001,103,103
10142002,103,103
10142002,103,103
10143201,103,103
10143201,103,103
10144201,103,103
10144201,103,103
10144201,103,103
10144201,103,103
10144202,103,103
10144202,103,103
10144202,103,103
10144202,103,103
10144202,103,103
10144203,103,103
10144203,103,103
10145001,103,103
10145001,103,103
10145002,103,328
10145002,328,103
10145003,103,103
10145003,103,103
10145003,103,103
10146201,103,95
10146201,95,103
10146203,103,103
10146203,103,103
10146204,103,103
10146204,103,103
10146205,103,103
10146205,103,103
10147102,103,103
10147102,103,103
10147103,103,103
10147103,103,103
10147104,103,999
10147104,999,103
10147104,103,103
10147104,103,103
10148001,103,999
10148001,999,103
10148001,103,103
10148001,103,103
10148002,103,103
10148002,103,103
10148002,103,103
10148002,103,103
10148003,103,103
10148003,103,103
10148003,103,103
10148003,103,103
10148004,103,103
10148004,103,103
10150201,103,103
10150201,103,103
10150202,103,103
10150202,103,103
10150202,103,103
10150202,103,103
10150202,103,103
10150202,103,103
10150203,103,103
10150203,103,103
10151201,103,79
10151202,103,79
